# 中国近现代史纲要400题分章节真题集（含答案）

## 第一部分 单项选择题（180题）

### 第一章 反对外国侵略的斗争（20题）

1. 中国近代史的开端是（）
**答案：B**

29. 洋务派创办的第一个民用企业是（）
A. 轮船招商局
B. 开平矿务局
C. 汉阳铁厂
D. 上海机器织布局
**答案：A**

30. 洋务运动失败的根本原因是（）
A. 洋务派自身的阶级局限性
B. 洋务运动具有封建性
C. 洋务运动对外国具有依赖性
D. 洋务企业的管理具有腐朽性
**答案：A**

31. 戊戌变法运动的性质是（）
A. 资产阶级改良运动
B. 资产阶级革命运动
C. 地主阶级自救运动
D. 农民阶级起义
**答案：A**

32. 戊戌变法运动的序幕是（）
A. 公车上书
B. 强学会的成立
C. 《时务报》的创办
D. 百日维新
**答案：A**

33. 戊戌变法运动的核心人物是（）
A. 康有为
B. 梁启超
C. 谭嗣同
D. 光绪帝
**答案：A**

34. 戊戌变法运动中，光绪帝颁布的变法诏书的主要内容不包括（）
A. 改革行政机构，裁汰冗员
B. 鼓励私人兴办工矿企业
C. 废除科举制度，改试策论
D. 颁布《钦定宪法大纲》
**答案：D**

35. 戊戌变法运动失败的根本原因是（）
A. 维新派自身的阶级局限性
B. 维新派缺乏坚强的组织领导
C. 维新派不敢否定封建主义
D. 维新派对帝国主义抱有幻想
**答案：A**

36. 中国近代史上第一次思想解放潮流是（）
A. 洋务运动
B. 戊戌变法运动
C. 辛亥革命
D. 新文化运动
**答案：B**

37. 戊戌变法运动的历史意义不包括（）
A. 是一次爱国救亡运动
B. 是一次资产阶级性质的政治改良运动
C. 是一次思想启蒙运动
D. 是一次彻底的反帝反封建的革命运动
**答案：D**

38. 太平天国运动、洋务运动、戊戌变法运动的共同特点是（）
A. 都是地主阶级领导的
B. 都是资产阶级领导的
C. 都是为了维护清朝的封建统治
D. 都推动了中国近代化的进程
**答案：D**

39. 中国近代史上，农民阶级、地主阶级、资产阶级都进行了探索，但都没有成功，其根本原因是（）
A. 中外反动势力的联合绞杀
B. 自身的阶级局限性
C. 没有科学的理论指导
D. 没有发动人民群众
**答案：B**

40. 19世纪末，中国民族资本主义得到初步发展的主要原因是（）
A. 清政府放宽了对民间设厂的限制
B. 帝国主义的资本输出
C. 洋务运动的推动
D. 维新变法运动的影响
**答案：A**

### 第三章 辛亥革命与君主专制制度的终结（20题）

41. 中国第一个资产阶级革命团体是（）
A. 兴中会
B. 华兴会
C. 光复会
D. 中国同盟会
**答案：A**

42. 中国第一个资产阶级革命政党是（）
A. 兴中会
B. 华兴会
C. 光复会
D. 中国同盟会
**答案：D**

43. 中国同盟会的政治纲领是（）
A. 驱除鞑虏，恢复中华，创立民国，平均地权
B. 反对君主立宪，实行民主共和
C. 废除科举制度，兴办新式学堂
D. 师夷长技以制夷
**答案：A**

44. 三民主义的核心是（）
A. 民族主义
B. 民权主义
C. 民生主义
D. 平均地权
**答案：B**

45. 三民主义中的民族主义的主要内容是（）
A. 驱除鞑虏，恢复中华
B. 创立民国
C. 平均地权
D. 节制资本
**答案：A**

46. 三民主义中的民权主义的主要内容是（）
A. 驱除鞑虏，恢复中华
B. 创立民国
C. 平均地权
D. 节制资本
**答案：B**

47. 三民主义中的民生主义的主要内容是（）
A. 驱除鞑虏，恢复中华
B. 创立民国
C. 平均地权
D. 节制资本
**答案：C**

48. 辛亥革命爆发的标志是（）
A. 兴中会的成立
B. 中国同盟会的成立
C. 武昌起义
D. 中华民国的成立
**答案：C**

49. 中华民国成立的时间是（）
A. 1911年10月10日
B. 1912年1月1日
C. 1912年2月12日
D. 1912年3月10日
**答案：B**

50. 中国历史上第一部具有资产阶级共和国宪法性质的法典是（）
A. 《中华民国临时约法》
B. 《钦定宪法大纲》
C. 《中华民国约法》
D. 《中国人民政治协商会议共同纲领》
**答案：A**

51. 辛亥革命的历史功绩不包括（）
A. 推翻了清王朝的统治
B. 结束了中国两千多年的封建君主专制制度
C. 建立了中国历史上第一个资产阶级共和国
D. 改变了中国半殖民地半封建社会的性质
**答案：D**

52. 辛亥革命失败的根本原因是（）
A. 资产阶级革命派自身的软弱性和妥协性
B. 没有提出彻底的反帝反封建的革命纲领
C. 没有充分发动和依靠人民群众
D. 没有建立坚强的革命政党
**答案：A**

53. 辛亥革命后，窃取辛亥革命果实的是（）
A. 袁世凯
B. 段祺瑞
C. 冯国璋
D. 张作霖
**答案：A**

54. 二次革命的直接原因是（）
A. 袁世凯称帝
B. 张勋复辟
C. 宋教仁被刺
D. 段祺瑞拒绝恢复《中华民国临时约法》
**答案：C**

55. 护国运动的主要目标是（）
A. 反对袁世凯称帝
B. 反对张勋复辟
C. 反对段祺瑞拒绝恢复《中华民国临时约法》
D. 反对北洋军阀的黑暗统治
**答案：A**

56. 护法运动的主要目标是（）
A. 反对袁世凯称帝
B. 反对张勋复辟
C. 反对段祺瑞拒绝恢复《中华民国临时约法》
D. 反对北洋军阀的黑暗统治
**答案：C**

57. 辛亥革命后，中国进入了（）
A. 资本主义社会
B. 新民主主义社会
C. 北洋军阀统治时期
D. 南京国民政府统治时期
**答案：C**

58. 1915年，陈独秀在上海创办《青年杂志》（后改名为《新青年》），标志着（）
A. 洋务运动的开始
B. 戊戌变法运动的开始
C. 辛亥革命的开始
D. 新文化运动的开始
**答案：D**

59. 新文化运动的基本口号是（）
A. 民主和科学
B. 提倡新道德，反对旧道德
C. 提倡新文学，反对旧文学
D. 打倒孔家店
**答案：A**

60. 新文化运动的历史意义不包括（）
A. 是一次伟大的思想解放运动
B. 为马克思主义在中国的传播创造了条件
C. 动摇了封建思想的统治地位
D. 改变了中国半殖民地半封建社会的性质
**答案：D**

### 第四章 开天辟地的大事变（20题）

61. 新文化运动中，率先举起马克思主义旗帜的是（）
A. 陈独秀
B. 李大钊
C. 毛泽东
D. 周恩来
**答案：B**

62. 五四运动爆发的直接原因是（）
A. 巴黎和会上中国外交的失败
B. 俄国十月革命的影响
C. 新文化运动的推动
D. 中国人民的民族意识觉醒
**答案：A**

63. 五四运动的性质是（）
A. 一次彻底的反帝反封建的爱国运动
B. 一次资产阶级性质的民主革命运动
C. 一次无产阶级性质的社会主义革命运动
D. 一次思想解放运动
**答案：A**

64. 五四运动的中心由北京转移到上海的时间是（）
A. 1919年5月4日
B. 1919年6月3日
C. 1921年7月1日
D. 1924年1月
**答案：B**

65. 五四运动的历史意义不包括（）
A. 是中国新民主主义革命的开端
B. 促进了马克思主义在中国的传播
C. 为中国共产党的成立奠定了思想基础
D. 改变了中国半殖民地半封建社会的性质
**答案：D**

66. 中国共产党成立的时间是（）
A. 1919年5月4日
B. 1921年7月1日
C. 1921年7月23日
D. 1924年1月
**答案：C**

67. 中国共产党第一次全国代表大会召开的地点是（）
A. 北京
B. 上海
C. 广州
D. 武汉
**答案：B**

68. 中国共产党成立的标志是（）
A. 五四运动的爆发
B. 中国共产党第一次全国代表大会的召开
C. 中国共产党第二次全国代表大会的召开
D. 中国国民党第一次全国代表大会的召开
**答案：B**

69. 中国共产党第一次明确提出反帝反封建的民主革命纲领的会议是（）
A. 中国共产党第一次全国代表大会
B. 中国共产党第二次全国代表大会
C. 中国共产党第三次全国代表大会
D. 中国共产党第四次全国代表大会
**答案：B**

70. 第一次国共合作的政治基础是（）
A. 三民主义
B. 新三民主义
C. 马克思主义
D. 毛泽东思想
**答案：B**

71. 第一次国共合作正式形成的标志是（）
A. 中国共产党第一次全国代表大会的召开
B. 中国共产党第二次全国代表大会的召开
C. 中国共产党第三次全国代表大会的召开
D. 中国国民党第一次全国代表大会的召开
**答案：D**

72. 北伐战争的主要对象是（）
A. 吴佩孚、孙传芳、张作霖
B. 袁世凯、段祺瑞、冯国璋
C. 张勋、段祺瑞、张作霖
D. 吴佩孚、孙传芳、冯玉祥
**答案：A**

73. 北伐战争的主战场是（）
A. 湖南、湖北
B. 江西、福建
C. 浙江、江苏
D. 广东、广西
**答案：A**

74. 大革命失败的标志是（）
A. 四一二反革命政变
B. 七一五反革命政变
C. 马日事变
D. 中山舰事件
**答案：B**

75. 大革命失败的根本原因是（）
A. 帝国主义和封建势力的联合力量过于强大
B. 资产阶级发生严重的动摇，统一战线出现剧烈的分化
C. 陈独秀右倾机会主义的错误
D. 中国共产党缺乏经验，还不善于将马克思主义基本原理同中国革命实际相结合
**答案：C**

76. 大革命失败后，中国共产党开始独立领导武装斗争的标志是（）
A. 南昌起义
B. 秋收起义
C. 广州起义
D. 百色起义
**答案：A**

77. 南昌起义的时间是（）
A. 1927年8月1日
B. 1927年9月9日
C. 1927年12月11日
D. 1929年12月11日
**答案：A**

78. 秋收起义的领导人是（）
A. 周恩来
B. 贺龙
C. 叶挺
D. 毛泽东
**答案：D**

79. 中国共产党创建的第一个农村革命根据地是（）
A. 井冈山革命根据地
B. 中央革命根据地
C. 湘鄂西革命根据地
D. 左右江革命根据地
**答案：A**

80. 古田会议召开的时间是（）
A. 1927年8月1日
B. 1929年12月
C. 1931年11月
D. 1935年1月
**答案：B**

### 第五章 中国革命的新道路（20题）

81. 八七会议召开的时间是（）
A. 1927年8月7日
B. 1927年9月9日
C. 1927年12月11日
D. 1929年12月
**答案：A**

82. 八七会议的主要内容不包括（）
A. 彻底清算了大革命后期陈独秀的右倾机会主义错误
B. 确定了土地革命和武装反抗国民党反动统治的总方针
C. 选出了以瞿秋白为首的中央临时政治局
D. 决定把党的工作重心由城市转移到农村
**答案：D**

83. 中国革命走农村包围城市、武装夺取政权道路的理论基础是（）
A. 马克思主义的暴力革命理论
B. 列宁的工农武装割据理论
C. 毛泽东的工农武装割据思想
D. 中国共产党的土地革命政策
**答案：C**

84. 工农武装割据的基本内容不包括（）
A. 土地革命
B. 武装斗争
C. 农村革命根据地建设
D. 城市武装起义
**答案：D**

85. 土地革命战争时期，中国共产党在农村革命根据地建立的政权性质是（）
A. 工农民主专政
B. 人民民主专政
C. 资产阶级专政
D. 无产阶级专政
**答案：A**

86. 红军长征的直接原因是（）
A. 第五次反"围剿"的失败
B. 日本帝国主义的入侵
C. 王明"左"倾教条主义的错误
D. 红军的战略转移
**答案：A**

87. 红军长征开始的时间是（）
A. 1934年10月
B. 1935年1月
C. 1935年10月
D. 1936年10月
**答案：A**

88. 遵义会议召开的时间是（）
A. 1934年10月
B. 1935年1月
C. 1935年10月
D. 1936年10月
**答案：B**

89. 遵义会议的历史意义不包括（）
A. 结束了王明"左"倾教条主义在中央的统治
B. 确立了毛泽东在党和红军中的领导地位
C. 挽救了党，挽救了红军，挽救了中国革命
D. 标志着中国共产党从幼稚走向成熟
**答案：无**

90. 红军三大主力会师的时间是（）
A. 1934年10月
B. 1935年1月
C. 1935年10月
D. 1936年10月
**答案：D**

91. 红军三大主力会师的地点是（）
A. 吴起镇
B. 会宁
C. 延安
D. 遵义
**答案：B**

92. 长征的胜利，是中国革命转危为安的关键，其历史意义不包括（）
A. 实现了中国革命的战略大转移
B. 为中国革命保留了最珍贵的火种
C. 推动了中国革命新局面的到来
D. 改变了中国半殖民地半封建社会的性质
**答案：D**

93. 1931年，日本帝国主义发动九一八事变，进而侵占中国东北。九一八事变爆发的根本原因是（）
A. 日本帝国主义企图以中国东北为基地，进一步侵略中国
B. 日本帝国主义为了摆脱经济危机
C. 中国东北军的不抵抗政策
D. 国际联盟的纵容
**答案：A**

94. 一二·九运动爆发的时间是（）
A. 1931年9月18日
B. 1935年12月9日
C. 1936年12月12日
D. 1937年7月7日
**答案：B**

95. 一二·九运动的性质是（）
A. 一次彻底的反帝反封建的爱国运动
B. 一次抗日救亡的爱国运动
C. 一次思想解放运动
D. 一次无产阶级性质的社会主义革命运动
**答案：B**

96. 西安事变爆发的时间是（）
A. 1935年12月9日
B. 1936年12月12日
C. 1937年7月7日
D. 1937年8月13日
**答案：B**

97. 西安事变的发动者是（）
A. 张学良、杨虎城
B. 蒋介石、宋美龄
C. 周恩来、叶剑英
D. 毛泽东、朱德
**答案：A**

98. 西安事变和平解决的历史意义不包括（）
A. 标志着十年内战的基本结束
B. 标志着抗日民族统一战线的正式形成
C. 为国共两党实现第二次合作创造了条件
D. 揭开了全民族抗战的序幕
**答案：B**

99. 1937年7月7日，日本帝国主义发动卢沟桥事变，标志着（）
A. 日本帝国主义开始全面侵华战争
B. 中国抗日战争的全面爆发
C. 中国进入全面抗战时期
D. 以上都是
**答案：D**

100. 抗日民族统一战线正式形成的标志是（）
A. 西安事变的和平解决
B. 中国共产党发表《为抗日救国告全体同胞书》
C. 国民党发表《中共中央为公布国共合作宣言》
D. 中国工农红军改编为国民革命军第八路军和新编第四军
**答案：C**

### 第六章 中华民族的抗日战争（20题）

101. 抗日战争时期，中国共产党实行的土地政策是（）
A. 没收地主土地分配给农民
B. 减租减息
C. 耕者有其田
D. 土地国有
**答案：B**

102. 抗日战争时期，正面战场取得的第一次大捷是（）
A. 平型关大捷
B. 台儿庄大捷
C. 百团大战
D. 淞沪会战
**答案：B**

103. 抗日战争时期，敌后战场取得的第一次大捷是（）
A. 平型关大捷
B. 台儿庄大捷
C. 百团大战
D. 淞沪会战
**答案：A**

104. 百团大战的指挥者是（）
A. 林彪
B. 聂荣臻
C. 彭德怀
D. 贺龙
**答案：C**

105. 抗日战争时期，中国共产党在抗日根据地实行的政权组织形式是（）
A. 工农民主专政
B. 三三制
C. 人民代表大会制度
D. 政治协商制度
**答案：B**

106. 毛泽东发表《论持久战》的时间是（）
A. 1937年7月
B. 1938年5月
C. 1940年1月
D. 1945年4月
**答案：B**

107. 《论持久战》科学地预测了抗日战争的发展进程，其内容不包括（）
A. 战略防御阶段
B. 战略相持阶段
C. 战略反攻阶段
D. 战略决战阶段
**答案：D**

108. 抗日战争时期，国民党顽固派发动的第一次反共高潮的时间是（）
A. 1939年12月
B. 1940年10月
C. 1941年1月
D. 1943年3月
**答案：A**

109. 皖南事变发生的时间是（）
A. 1939年12月
B. 1940年10月
C. 1941年1月
D. 1943年3月
**答案：C**

110. 抗日战争时期，中国共产党开展的整风运动的主要内容不包括（）
A. 反对主观主义以整顿学风
B. 反对宗派主义以整顿党风
C. 反对党八股以整顿文风
D. 反对官僚主义以整顿作风
**答案：D**

111. 中国共产党第七次全国代表大会召开的时间是（）
A. 1945年4月
B. 1945年6月
C. 1949年3月
D. 1949年9月
**答案：A**

112. 中国共产党第七次全国代表大会的中心议题是（）
A. 讨论和决定抗战胜利后的中国前途和命运
B. 总结中国共产党24年的斗争经验
C. 确立毛泽东思想为党的指导思想
D. 选举产生以毛泽东为首的中央领导集体
**答案：C**

113. 抗日战争胜利的时间是（）
A. 1945年8月15日
B. 1945年9月2日
C. 1945年9月9日
D. 1945年10月1日
**答案：B**

114. 抗日战争胜利的根本原因是（）
A. 中国共产党的中流砥柱作用
B. 以国共合作为基础的抗日民族统一战线的建立
C. 中国人民的巨大民族觉醒、空前民族团结和英勇民族抗争
D. 世界反法西斯力量的同情和支持
**答案：C**

115. 抗日战争胜利的历史意义不包括（）
A. 是中国近代以来抗击外敌入侵的第一次完全胜利
B. 重新确立了中国在世界上的大国地位
C. 开辟了中华民族伟大复兴的光明前景
D. 改变了中国半殖民地半封建社会的性质
**答案：D**

116. 抗日战争时期，日本帝国主义在中国制造的惨案不包括（）
A. 南京大屠杀
B. 潘家峪惨案
C. 平顶山惨案
D. 五卅惨案
**答案：D**

117. 抗日战争时期，中国共产党提出的抗日民族统一战线的策略总方针是（）
A. 发展进步势力，争取中间势力，孤立顽固势力
B. 坚持抗战，反对投降；坚持团结，反对分裂；坚持进步，反对倒退
C. 有理、有利、有节
D. 一切经过统一战线，一切服从统一战线
**答案：A**

118. 抗日战争时期，进步势力主要是指（）
A. 工人、农民、城市小资产阶级
B. 民族资产阶级、开明绅士、地方实力派
C. 国民党亲英美派
D. 国民党亲日派
**答案：A**

119. 抗日战争时期，中间势力主要是指（）
A. 工人、农民、城市小资产阶级
B. 民族资产阶级、开明绅士、地方实力派
C. 国民党亲英美派
D. 国民党亲日派
**答案：B**

120. 抗日战争时期，顽固势力主要是指（）
A. 工人、农民、城市小资产阶级
B. 民族资产阶级、开明绅士、地方实力派
C. 国民党亲英美派
D. 国民党亲日派
**答案：C**

### 第七章 为新中国而奋斗（20题）

121. 抗日战争胜利后，中国社会的主要矛盾是（）
A. 帝国主义与中华民族的矛盾
B. 封建主义与人民大众的矛盾
C. 国民党反动派与中国人民的矛盾
D. 美苏两国在中国的矛盾
**答案：C**

122. 抗日战争胜利后，中国共产党提出的口号是（）
A. 和平、民主、团结
B. 打倒蒋介石，解放全中国
C. 向北发展，向南防御
D. 巩固国内和平，实现民主改革
**答案：A**

123. 重庆谈判的时间是（）
A. 1945年8月
B. 1945年10月
C. 1946年1月
D. 1946年6月
**答案：A**

124. 重庆谈判的结果是签订了（）
A. 《双十协定》
B. 《停战协定》
C. 《共同纲领》
D. 《国内和平协定》
**答案：A**

125. 解放战争时期，国民党军队对解放区发动的全面进攻开始于（）
A. 1946年6月
B. 1947年3月
C. 1947年6月
D. 1948年9月
**答案：A**

126. 解放战争时期，国民党军队对解放区发动的重点进攻的目标是（）
A. 陕北解放区和山东解放区
B. 东北解放区和华北解放区
C. 中原解放区和华东解放区
D. 西北解放区和华中解放区
**答案：A**

127. 解放战争时期，中国人民解放军开始战略反攻的标志是（）
A. 刘邓大军挺进大别山
B. 辽沈战役的发动
C. 淮海战役的发动
D. 平津战役的发动
**答案：A**

128. 刘邓大军挺进大别山的时间是（）
A. 1947年6月
B. 1948年9月
C. 1948年11月
D. 1949年1月
**答案：A**

129. 解放战争时期，三大战役的先后顺序是（）
A. 辽沈战役、淮海战役、平津战役
B. 淮海战役、辽沈战役、平津战役
C. 平津战役、辽沈战役、淮海战役
D. 辽沈战役、平津战役、淮海战役
**答案：A**

130. 辽沈战役的指挥者是（）
A. 林彪、罗荣桓
B. 刘伯承、邓小平
C. 陈毅、粟裕
D. 聂荣臻、叶剑英
**答案：A**

131. 淮海战役的指挥者是（）
A. 林彪、罗荣桓
B. 刘伯承、邓小平、陈毅、粟裕、谭震林
C. 聂荣臻、叶剑英
D. 彭德怀、贺龙
**答案：B**

132. 平津战役的指挥者是（）
A. 林彪、罗荣桓、聂荣臻
B. 刘伯承、邓小平
C. 陈毅、粟裕
D. 彭德怀、贺龙
**答案：A**

133. 三大战役的胜利，其历史意义不包括（）
A. 基本上消灭了国民党军队的主力
B. 奠定了人民解放战争在全国胜利的基础
C. 标志着国民党反动统治的覆灭
D. 是中国人民革命战争史上的光辉篇章
**答案：C**

134. 渡江战役的时间是（）
A. 1949年4月
B. 1949年5月
C. 1949年6月
D. 1949年10月
**答案：A**

135. 渡江战役的胜利，标志着（）
A. 国民党反动统治的覆灭
B. 人民解放战争的胜利
C. 中国新民主主义革命的胜利
D. 中华人民共和国的成立
**答案：A**

136. 中国人民政治协商会议第一届全体会议召开的时间是（）
A. 1949年9月
B. 1949年10月
C. 1954年9月
D. 1956年9月
**答案：A**

137. 中国人民政治协商会议第一届全体会议通过的文件不包括（）
A. 《中国人民政治协商会议共同纲领》
B. 《中华人民共和国宪法》
C. 《中国人民政治协商会议组织法》
D. 《中华人民共和国中央人民政府组织法》
**答案：B**

138. 《中国人民政治协商会议共同纲领》的性质是（）
A. 新民主主义性质的宪法
B. 社会主义性质的宪法
C. 中国共产党的纲领
D. 中国各民主党派的纲领
**答案：A**

139. 中华人民共和国成立的时间是（）
A. 1949年9月21日
B. 1949年10月1日
C. 1954年9月20日
D. 1956年12月
**答案：B**

140. 中华人民共和国成立的历史意义不包括（）
A. 标志着中国新民主主义革命的基本胜利
B. 标志着中国半殖民地半封建社会的结束
C. 标志着中国进入了社会主义社会
D. 标志着中国历史从此开辟了一个新纪元
**答案：C**

### 第八章 社会主义基本制度在中国的确立（20题）

141. 中华人民共和国成立后，中国社会的主要矛盾是（）
A. 帝国主义与中华民族的矛盾
B. 封建主义与人民大众的矛盾
C. 工人阶级与资产阶级的矛盾
D. 人民日益增长的物质文化需要同落后的社会生产之间的矛盾
**答案：C**

142. 中华人民共和国成立后，中国共产党领导的土地改革运动的总路线是（）
A. 依靠贫农、雇农，团结中农，中立富农，有步骤地、有分别地消灭封建剥削制度，发展农业生产
B. 没收地主土地分配给农民，实行耕者有其田
C. 减租减息
D. 土地国有
**答案：A**

143. 土地改革运动完成的时间是（）
A. 1952年底
B. 1953年底
C. 1956年底
D. 1957年底
**答案：A**

144. 中华人民共和国成立后，中国共产党领导的国民经济恢复工作的时间是（）
A. 1949年-1952年
B. 1953年-1956年
C. 1956年-1966年
D. 1966年-1976年
**答案：A**

145. 第一个五年计划开始实施的时间是（）
A. 1953年
B. 1954年
C. 1955年
D. 1956年
**答案：A**

146. 第一个五年计划的基本任务是（）
A. 集中主要力量发展重工业，建立国家工业化和国防现代化的初步基础
B. 相应地发展交通运输业、轻工业、农业和商业
C. 相应地培养建设人才
D. 以上都是
**答案：D**

147. 社会主义改造的对象是（）
A. 农业、手工业和资本主义工商业
B. 地主阶级、富农阶级和资产阶级
C. 帝国主义在华势力和封建主义势力
D. 官僚资本主义和民族资本主义
**答案：A**

148. 农业社会主义改造的道路是（）
A. 互助组、初级农业生产合作社、高级农业生产合作社
B. 和平赎买
C. 国家资本主义
D. 没收
**答案：A**

149. 手工业社会主义改造的道路是（）
A. 互助组、初级手工业生产合作社、高级手工业生产合作社
B. 和平赎买
C. 国家资本主义
D. 没收
**答案：A**

150. 资本主义工商业社会主义改造的道路是（）
A. 互助组、初级生产合作社、高级生产合作社
B. 和平赎买
C. 国家资本主义
D. 没收
**答案：B**

151. 社会主义改造基本完成的时间是（）
A. 1956年底
B. 1957年底
C. 1958年底
D. 1959年底
**答案：A**

152. 社会主义改造基本完成的历史意义不包括（）
A. 标志着社会主义基本制度在中国的确立
B. 标志着中国进入了社会主义初级阶段
C. 标志着中国新民主主义革命的基本胜利
D. 为中国的社会主义现代化建设奠定了基础
**答案：C**

153. 中国共产党第八次全国代表大会召开的时间是（）
A. 1956年9月
B. 1957年9月
C. 1958年9月
D. 1959年9月
**答案：A**

154. 中国共产党第八次全国代表大会正确分析了社会主义改造基本完成后中国社会的主要矛盾，指出国内的主要矛盾是（）
A. 工人阶级与资产阶级的矛盾
B. 人民日益增长的物质文化需要同落后的社会生产之间的矛盾
C. 帝国主义与中华民族的矛盾
D. 封建主义与人民大众的矛盾
**答案：B**

155. 中国共产党第八次全国代表大会提出的主要任务是（）
A. 集中力量发展社会生产力，实现国家工业化，逐步满足人民日益增长的物质文化需要
B. 加强社会主义民主政治建设，健全社会主义法制
C. 加强党的建设，提高党的执政能力
D. 以上都是
**答案：A**

156. 1957年，毛泽东发表《关于正确处理人民内部矛盾的问题》的讲话，提出了社会主义社会的基本矛盾是（）
A. 生产关系和生产力之间的矛盾，上层建筑和经济基础之间的矛盾
B. 工人阶级与资产阶级的矛盾
C. 人民日益增长的物质文化需要同落后的社会生产之间的矛盾
D. 帝国主义与中华民族的矛盾
**答案：A**

157. 社会主义社会的两类不同性质的矛盾是（）
A. 敌我矛盾和人民内部矛盾
B. 工人阶级与资产阶级的矛盾
